keep_YN,score,category,domain,summary,verbatim,corpus_id,anchor,link
,4,measurement_gap,measurement,"No established statistical data exists for additive-manufactured metals to meet MMPDS requirements, forcing expensive destructive testing (100 samples from 10 heats at $2M+ per material system) before aerospace qualification.","You have to have a hundred samples from 10 different lots and statistically average these. You have to have that data before you can ever put it in an aircraft. So just because you can make a part, do you really want to make a hundred of them at twenty thousand dollars a piece, to tear up and measure and throw away, before you can actually put one in an aircraft?",AM_F2019_02,§7.p4–p5,https://r-h-taylor.github.io/lectures/80LMn6GeJDM.html?q=You%20have%20to%20have%20a%20hundred%20samples%20from%2010%20different%20lots%20an#l3-s7-p4
,4,measurement_gap,measurement,Real-time or faster chemical composition measurement during BOP refining could unlock millions in productivity gains.,"If you got a faster way to do the chemical analysis, or if you could do it in situ... This facility is turning out steel at a value of $4 million an hour. A few minutes is worth a lot of money.",CAS_Su2011_03,§30.p2,https://r-h-taylor.github.io/lectures/WhWf_cgsv0I.html?q=If%20you%20got%20a%20faster%20way%20to%20do%20the%20chemical%20analysis%2C%20or%20if%20y#l3-s30-p2
,4,measurement_gap,joining,No systematic understanding exists of how manufacturing tolerance stack-up and housing flexibility interact to produce closed conformity in large slender bearings.,The thing that gives the shape to the bearing is the swashplate aluminum housing... There was no way to go back and prove what happened to this aluminum housing.,CS_F2012_03,§5.p6,https://r-h-taylor.github.io/lectures/2-PLy8soKXo.html?q=The%20thing%20that%20gives%20the%20shape%20to%20the%20bearing%20is%20the%20swashpl#l3-s5-p6
,4,measurement_gap,measurement,Develop automated or improved detection method for flaws in the final 18 inches of seamless pipe that currently relies on manual magnetic particle inspection.,"Since they can't measure the last 18 inches where they grab it, they have a bunch of lowly paid employees — most of them can't speak English as a first language — doing magnetic particle testing by hand... it's not automated, and sometimes people will miss something.",CS_F2012_12,§1.p5,https://r-h-taylor.github.io/lectures/kEqabZ7bO0Y.html?q=Since%20they%20can%27t%20measure%20the%20last%2018%20inches%20where%20they%20grab%20#l3-s1-p5
,4,measurement_gap,aluminum,Measure and characterize the potato-chip (saddle-shaped) distortion of aluminum swash plate housings and how it couples to bearing performance under high-speed helicopter rotor loads.,"If I'm getting different shaped barrels in each quadrant, that means my aluminum housing is potato-chipped. A potato chip is a saddle shape. It's not circular.",CS_Su2012_02,§4.p20,https://r-h-taylor.github.io/lectures/cys2q7xFrbQ.html?q=If%20I%27m%20getting%20different%20shaped%20barrels%20in%20each%20quadrant%2C%20th#l3-s4-p20
,4,measurement_gap,measurement,"Develop or validate a non-destructive inspection method that can reliably detect flaws between one-sixteenth and one-eighth inch, the size range where detection probability currently drops below acceptable thresholds.","The Air Force did a big study, and you can't find flaws with more than 50% accuracy at a sixteenth of an inch. You have like a 95% probability of finding a flaw at an eighth of an inch.",CS_Su2012_04,§6.p6,https://r-h-taylor.github.io/lectures/M7jStS1Pxss.html?q=The%20Air%20Force%20did%20a%20big%20study%2C%20and%20you%20can%27t%20find%20flaws%20with#l3-s6-p6
,4,measurement_gap,measurement,Empirical measurement of actual lightning strike impedance behavior on flexible gas tubing installations under realistic residential conditions.,"It's only in the last three months they've added the word 'impedance' to their vocabulary. That's because I've been telling them what impedance is for three years, so they finally learned.",CS_Su2012_07,§9.p5,https://r-h-taylor.github.io/lectures/nLWgIwqPozE.html?q=It%27s%20only%20in%20the%20last%20three%20months%20they%27ve%20added%20the%20word%20%27i#l3-s9-p5
,4,measurement_gap,measurement,"The quantitative relationship between defect type, size, and location in carbon nanotubes and their resulting strength degradation has not been systematically measured or modeled.","I can take a sheet of paper — you'll see me doing this on the History Channel when I talk about the Titanic — and pull on that piece of paper with pounds of force. But if I put a flaw in, that takes ounces.",DP_S2012_01,§9.p2,https://r-h-taylor.github.io/lectures/WdHzBSOyinU.html?q=I%20can%20take%20a%20sheet%20of%20paper%20%E2%80%94%20you%27ll%20see%20me%20doing%20this%20on%20th#l3-s9-p2
,4,measurement_gap,nickel,"Ultra-fine-grain alloys stabilized by solubility and diffusivity constraints (like Schuh's nickel-tungsten) should have excellent forming characteristics, but the mechanical window before grain growth is poorly defined and requires characterization.",Some of those alloys should have excellent forming characteristics in certain temperature ranges. But you have to do your mechanical shearing before the grains get so big that they lose their elongation capability.,DP_S2012_11,§8.p4,https://r-h-taylor.github.io/lectures/7ghihjZEZvk.html?q=Some%20of%20those%20alloys%20should%20have%20excellent%20forming%20character#l3-s8-p4
,4,measurement_gap,measurement,"Fresh plasma-cutting fume composition differs from aged fume, but standard measurement protocols collect and age fume before analysis, masking the actual hexavalent chromium exposure a welder breathes.","Most people don't measure fresh fume, which is what a welder or operator will breathe. They collect the fume, wait a month to ship it to the lab, and analyze it when it's been exposed all that time — so they get bad results.",FW_Su2013_02,§6.p6,https://r-h-taylor.github.io/lectures/EvpwSXoRHZk.html?q=Most%20people%20don%27t%20measure%20fresh%20fume%2C%20which%20is%20what%20a%20welder#l3-s6-p6
